Date,Calories,Weight,day,Weight_linear,Weight_spline,Calories_linear,Calories_spline,phase,fitted_weight,weight_slope
2024-04-13,1840.0,,212,66.24545454545455,66.36947124471104,1595.5,1653.9816741557374,cut,66.00872878122178,-0.029362489750894838
2024-04-14,2006.0,,213,66.16363636363637,66.28840200275923,1553.0,1550.3988624188696,cut,65.97945247815011,-0.029191093904401555
2024-04-15,1480.0,,214,66.08181818181818,66.20487266304998,1510.5,1448.1166194725672,cut,65.95034465162873,-0.029025523631768618
2024-04-16,1468.0,,215,66.0,66.11912873942543,1468.0,1468.0,cut,65.92139951579138,-0.0288656984102668
2024-04-17,1596.0,66.2,216,65.91818181818182,66.03141574572774,1596.0,1596.0,cut,65.89261136839289,-0.02871153197444206
2024-04-18,2604.0,,217,65.83636363636363,65.94197919579905,1494.0,1474.084525136635,cut,65.86397459640787,-0.02856293193775154
2024-04-19,1392.0,,218,65.75454545454545,65.8510646034815,1392.0,1392.0,cut,65.83548368146283,-0.028419801174450754
2024-04-20,1525.0,,219,65.67272727272727,65.75891748261724,1604.5,1651.1657342230728,cut,65.80713320515385,-0.02828203713498567
2024-04-21,1817.0,66.0,220,65.5909090909091,65.66578334704843,1817.0,1817.0,cut,65.77891785418306,-0.028149532235962248
2024-04-22,1536.0,,221,65.5090909090909,65.57190771061721,1536.0,1536.0,cut,65.75083242535607,-0.028022173642720343
2024-04-23,1722.0,,222,65.42727272727272,65.4775360871657,1523.5,1363.1256661642444,cut,65.7228718304228,-0.02789984434627968
2024-04-24,1511.0,,223,65.34545454545454,65.3829139905361,1511.0,1511.0,cut,65.69503110074353,-0.027782422498034975
2024-04-25,1886.0,,224,65.26363636363637,65.28828693457051,1886.0,1886.0,cut,65.66730539179059,-0.027669781442796193
2024-04-26,1495.0,,225,65.18181818181817,65.19390043311108,1893.0,1974.6570913227165,cut,65.63968998749641,-0.027561790976093903
2024-04-27,1900.0,65.1,226,65.1,65.1,1900.0,1900.0,cut,65.61218030439676,-0.02745831646938276
2024-04-28,1758.0,,227,65.07380952380952,65.00681972095533,1758.0,1758.0,cut,65.58477189563926,-0.02735921888484446
2024-04-29,1379.0,,228,65.04761904761904,64.91454796919909,1379.0,1379.0,cut,65.55746045478679,-0.027264356389622435
2024-04-30,1718.0,,229,65.02142857142857,64.82336168982924,1718.0,1718.0,cut,65.53024181944383,-0.027173583467998697
2024-05-01,1293.0,,230,64.9952380952381,64.73343782794372,1293.0,1293.0,cut,65.50311197472058,-0.027086750239391222
2024-05-02,2048.0,,231,64.96904761904761,64.64495332864048,2048.0,2048.0,cut,65.47606705648752,-0.02700370477863127
2024-05-03,1423.0,,232,64.94285714285714,64.55808513701751,1423.0,1423.0,cut,65.44910335446941,-0.026924291710865116
2024-05-04,1562.0,,233,64.91666666666666,64.47301019817274,1562.0,1562.0,cut,65.42221731513744,-0.026848352684183396
