Date,Calories,Weight,day
2025-03-11,1374.0,,544
2025-03-12,1580.0,,545
2025-03-13,1456.0,65.9,546
2025-03-14,1581.0,66.3,547
2025-03-15,1395.0,67.1,548
2025-03-16,1579.0,,549
2025-03-17,1697.0,67.1,550
2025-03-18,1487.0,67.1,551
2025-03-19,1717.0,66.6,552
2025-03-20,1710.0,,553
2025-03-21,1765.0,67.6,554
2025-03-22,2143.0,67.4,555
2025-03-23,1616.0,67.4,556
2025-03-24,1684.0,67.2,557
2025-03-25,1736.0,66.4,558
2025-03-26,1984.0,66.5,559
2025-03-27,1639.0,67.3,560
2025-03-28,1905.0,67.2,561
2025-03-29,1736.0,66.7,562
2025-03-30,1790.0,,563
2025-03-31,1949.0,,564
2025-04-01,1863.0,66.3,565
2025-04-02,2000.0,,566
2025-04-03,1903.0,,567
2025-04-04,1741.0,67.5,568
2025-04-05,1969.0,67.9,569
2025-04-06,1496.0,67.0,570
2025-04-07,1837.0,66.0,571
2025-04-08,1903.0,67.1,572
2025-04-09,1512.0,,573
2025-04-10,1706.0,,574
2025-04-11,1792.0,66.4,575
2025-04-12,1753.0,67.1,576
2025-04-13,1965.0,,577
2025-04-14,2014.0,67.1,578
2025-04-15,1947.0,65.8,579
2025-04-16,1982.0,66.7,580
2025-04-17,1989.0,66.7,581
2025-04-18,1952.0,66.0,582
2025-04-19,2036.0,66.6,583
2025-04-20,1940.0,66.6,584
2025-04-21,1960.0,66.5,585
2025-04-22,2085.0,,586
2025-04-23,2162.0,65.8,587
2025-04-24,2037.0,65.8,588
2025-04-25,2158.0,66.4,589
2025-04-26,2183.0,66.7,590
2025-04-27,2098.0,66.2,591
2025-04-28,2155.0,66.4,592
2025-04-29,2170.0,66.6,593
2025-04-30,2133.0,65.9,594
2025-05-01,2281.0,66.9,595
2025-05-02,2274.0,67.2,596
2025-05-03,2131.0,,597
2025-05-04,2287.0,66.9,598
2025-05-05,2056.0,,599
2025-05-06,2355.0,67.0,600
2025-05-07,2191.0,66.9,601
2025-05-08,1966.0,67.2,602
2025-05-09,2204.0,,603
2025-05-10,1602.0,67.2,604
2025-05-11,2200.0,,605
2025-05-12,2306.0,67.2,606
2025-05-13,2193.0,67.4,607
2025-05-14,2193.0,67.4,608
2025-05-15,2080.0,67.4,609
2025-05-16,2171.0,67.8,610
2025-05-17,2187.0,,611
2025-05-18,2136.0,68.3,612
2025-05-19,2208.0,68.4,613
2025-05-20,2215.0,68.0,614
2025-05-21,2199.0,67.3,615
2025-05-22,2193.0,,616
2025-05-23,2251.0,,617
2025-05-24,2069.0,67.8,618
2025-05-25,2126.0,68.3,619
2025-05-26,2023.0,,620
2025-05-27,2197.0,67.7,621
2025-05-28,2144.0,67.7,622
2025-05-29,2587.0,68.3,623
2025-05-30,2178.0,68.3,624
2025-05-31,2058.0,68.3,625
2025-06-01,2179.0,68.2,626
2025-06-02,2232.0,68.8,627
2025-06-03,2137.0,69.3,628
2025-06-04,2138.0,68.4,629
2025-06-05,2215.0,,630
2025-06-06,2239.0,67.8,631
2025-06-07,2113.0,68.4,632
2025-06-08,2108.0,68.1,633
2025-06-09,2119.0,68.1,634
2025-06-10,2072.0,,635
2025-06-11,2163.0,68.1,636
2025-06-12,2121.0,68.8,637
2025-06-13,2339.0,68.3,638
2025-06-14,2195.0,68.3,639
2025-06-15,2384.0,,640
2025-06-16,2176.0,69.1,641
2025-06-17,2063.0,68.5,642
2025-06-18,2182.0,,643
2025-06-19,2038.0,68.9,644
2025-06-20,2221.0,68.2,645
2025-06-21,2252.0,67.7,646
2025-06-22,2266.0,68.2,647
2025-06-23,2199.0,68.3,648
2025-06-24,2124.0,,649
2025-06-25,1847.0,,650
2025-06-26,2032.0,68.1,651
2025-06-27,1964.0,68.1,652
2025-06-28,2110.0,68.3,653
2025-06-29,1826.0,68.4,654
2025-06-30,1979.0,69.1,655
2025-07-01,1986.0,68.7,656
2025-07-02,2228.0,68.2,657
2025-07-03,1649.0,,658
2025-07-04,2071.0,68.8,659
2025-07-05,2049.0,68.8,660
2025-07-06,1903.0,68.4,661
2025-07-07,2241.0,68.4,662
2025-07-08,1978.0,68.2,663
2025-07-09,1888.0,68.9,664
2025-07-10,1673.0,68.8,665
2025-07-11,1971.0,,666
2025-07-12,2225.0,68.2,667
2025-07-13,2054.0,69.4,668
2025-07-14,1840.0,69.1,669
2025-07-15,1787.0,69.1,670
2025-07-16,1857.0,68.2,671
2025-07-17,1831.0,68.2,672
2025-07-18,1758.0,,673
2025-07-19,1660.0,68.4,674
2025-07-20,1781.0,67.7,675
2025-07-21,1854.0,68.2,676
2025-07-22,1816.0,68.2,677
2025-07-23,1638.0,67.6,678
2025-07-24,1859.0,68.4,679
2025-07-25,1732.0,68.4,680
2025-07-26,1910.0,,681
2025-07-27,1580.0,68.0,682
2025-07-28,1431.0,,683
2025-07-29,1984.0,67.7,684
2025-07-30,1914.0,66.9,685
2025-07-31,1664.0,,686
2025-08-01,1887.0,68.0,687
2025-08-02,1827.0,67.8,688
2025-08-03,1783.0,,689
2025-08-04,1875.0,,690
2025-08-05,1591.0,67.8,691
2025-08-06,1405.0,66.9,692
2025-08-07,1811.0,,693
2025-08-08,1792.0,,694
2025-08-09,1873.0,66.9,695
2025-08-10,1781.0,67.4,696
2025-08-11,1797.0,67.9,697
2025-08-12,1607.0,66.4,698
2025-08-13,1785.0,66.9,699
2025-08-14,1872.0,67.5,700
2025-08-15,1749.0,,701
2025-08-16,1736.0,67.0,702
2025-08-17,1918.0,,703
2025-08-18,2023.0,67.1,704
2025-08-19,1680.0,,705
2025-08-20,1888.0,67.3,706
2025-08-21,1821.0,67.3,707
2025-08-22,1677.0,66.9,708
2025-08-23,1898.0,66.0,709
2025-08-24,1646.0,66.3,710
2025-08-25,1848.0,65.6,711
2025-08-26,1845.0,65.6,712
2025-08-27,1801.0,,713
2025-08-28,1652.0,65.5,714
2025-08-29,1752.0,65.3,715
2025-08-30,1923.0,,716
2025-08-31,1817.0,65.8,717
2025-09-01,1818.0,66.4,718
2025-09-02,1590.0,66.4,719
2025-09-03,1855.0,65.9,720
2025-09-04,1787.0,65.7,721
2025-09-05,1773.0,65.3,722
2025-09-06,1461.0,,723
2025-09-07,1785.0,65.4,724
2025-09-08,1738.0,65.7,725
2025-09-09,1370.0,,726
2025-09-10,1703.0,65.4,727
2025-09-11,1653.0,65.6,728
2025-09-12,1798.0,66.0,729
2025-09-13,1786.0,,730
2025-09-14,2034.0,65.3,731
2025-09-15,1851.0,65.8,732
2025-09-16,1766.0,66.1,733
2025-09-17,1790.0,66.3,734
2025-09-18,1719.0,65.7,735
2025-09-19,1652.0,65.3,736
2025-09-20,1829.0,65.2,737
2025-09-21,1706.0,,738
2025-09-22,1742.0,65.5,739
2025-09-23,1825.0,64.8,740
2025-09-24,1770.0,64.8,741
2025-09-25,1781.0,,742
2025-09-26,1890.0,65.3,743
2025-09-27,1387.0,65.3,744
2025-09-28,1787.0,65.3,745
2025-09-29,1731.0,65.2,746
2025-09-30,1835.0,65.2,747
2025-10-01,1916.0,64.7,748
2025-10-02,2328.0,64.7,749
2025-10-03,2049.0,66.2,750
2025-10-04,2053.0,64.6,751
2025-10-05,2077.0,,752
2025-10-06,2078.0,,753
2025-10-07,2050.0,64.0,754
2025-10-08,2015.0,64.0,755
2025-10-09,1804.0,64.1,756
2025-10-10,2104.0,64.1,757
2025-10-11,2205.0,64.0,758
2025-10-12,2076.0,64.4,759
2025-10-13,2058.0,64.7,760
2025-10-14,2242.0,,761
2025-10-15,1939.0,64.4,762
2025-10-16,2251.0,64.6,763
2025-10-17,2039.0,64.6,764
